generation_number,offsprings_per_generation,male_offsprings_per_generation,female_offsprings_per_generation,duration
499,13,9,4,14840777544
500,11,5,6,14823119625
501,5,2,3,14850957897
502,5,4,1,30940165657
503,13,8,5,20047549629
504,14,9,5,14843087169
505,12,5,7,21022047037
506,8,2,6,14858029275
507,18,14,4,15100277857
508,15,8,7,15110177155
509,9,5,4,15167212395
510,16,6,10,15965951279
511,16,9,7,14864132749
512,19,10,9,14829533760
513,18,8,10,14945746495
514,23,10,13,15072084319
515,29,15,14,15109438201
516,22,8,14,14784730339
517,21,11,10,14750149508
518,21,12,9,14723736644
519,15,9,6,14726405088
520,16,10,6,14733757127
521,16,5,11,14727219043
522,26,12,14,22752463476
523,27,20,7,14723418483
524,43,18,25,14734115156
525,23,9,14,14733784363
526,30,19,11,20781595706
527,21,11,10,19466408980
528,9,6,3,14759970647
529,18,7,11,20443908387
530,10,4,6,14770454950
531,6,4,2,14731117498
532,5,2,3,32753576644
533,7,4,3,14738463220
534,7,1,6,14717783565
535,6,2,4,14741564695
536,6,4,2,20784397573
537,10,7,3,14758984191
538,9,6,3,19855818335
539,8,5,3,14723853881
540,12,6,6,14743344184
541,15,8,7,19664036907
542,15,6,9,15151959629
543,21,9,12,15179054605
544,16,13,3,15244782816
545,16,11,5,15075833563
546,21,10,11,19359373958
547,16,9,7,14913046997
548,24,12,12,14737481501
549,18,5,13,14764445423
550,24,17,7,20656929213
551,22,13,9,14740279026
552,23,11,12,14754813759
553,11,4,7,14761877637
554,14,8,6,14767910454
555,15,6,9,14731321579
556,21,11,10,14724269937
557,14,7,7,15372605653
558,15,7,8,14770714689
559,9,3,6,24793276467
560,8,5,3,22837056327
561,12,6,6,22728256420
562,5,2,3,22751529126
563,11,6,5,17326740380
564,12,7,5,14795683988
565,10,5,5,14840687938
566,8,4,4,15031376329
567,8,5,3,20974859384
568,13,5,8,14950544564
569,20,12,8,14752386896
570,22,12,10,14854163582
571,18,7,11,15032123968
572,8,5,3,26933179937
573,11,2,9,15142038620
574,12,6,6,15064303199
575,14,7,7,15031027774
576,16,4,12,14892839055
577,13,4,9,20940104472
578,11,5,6,14982018789
579,6,4,2,15080148864
580,20,11,9,14770630215
581,10,6,4,14972691470
582,11,5,6,14906967996
583,18,13,5,14730399465
584,16,11,5,14745025383
585,16,7,9,14718747915
586,16,6,10,14719105945
587,19,8,11,14721504781
588,8,5,3,24790834998
589,21,10,11,14769287308
590,19,8,11,15161897612
591,9,2,7,14939524204
592,16,9,7,15355801163
593,8,4,4,15281180637
594,11,6,5,15348197280
595,12,3,9,15407448986
596,12,6,6,14902462430
597,13,7,6,14951036411
598,17,7,10,14960452546
599,24,10,14,21531719951
600,19,9,10,17840039379
601,15,8,7,15510769503
602,18,6,12,14830220214
603,21,10,11,14833356031
604,15,9,6,14775914603
605,23,17,6,14782048078
606,24,15,9,17396120334
607,24,13,11,14848426032
608,23,8,15,17072140767
609,15,9,6,14824616086
610,22,15,7,14910381710
611,15,7,8,14887074268
612,17,11,6,14872710457
613,23,13,10,14791328028
614,11,6,5,18520806565
615,11,5,6,19943907401
616,9,5,4,14802612866
617,15,11,4,14950547328
618,9,2,7,14754519678
619,10,6,4,15763801997
620,17,10,7,14948097963
621,16,10,6,14843763754
622,11,5,6,22792733305
623,12,7,5,14904236392
624,11,7,4,22864067618
625,18,5,13,14829620603
626,15,11,4,21040069695
627,16,9,7,25053664947
628,9,3,6,43937257210
629,10,6,4,14972834366
630,7,3,4,47375378309
631,6,3,3,27043659859
632,7,3,4,27513273735
